Player,Match,Result,Year,Return_In_Play_Rate,Return_Win_Efficiency,Return_Aggression,Return_Forehand_Ratio,Return_Depth_Index,Return_Defense_Rate,First_Serve_Return_Quality,Second_Serve_Return_Quality,Serve_Return_Adaptability,Return_Consistency,Return_Tactical_Balance,Return_Positioning_Intelligence,Service_Type_Adaptability,Defensive_Versatility,Return_Match_Impact,Overall_Return_Game
Aryna Sabalenka,2020 Adelaide R16,W vsPera,2020,0.612,0.488,0.045,0.667,2.51,0.206,0.446,0.55,0.493,0.32,0.205,1.349,0.813,0.134,0.542,0.391
Aryna Sabalenka,2020 Adelaide R32,W vsHsieh,2020,0.719,0.563,0.034,0.333,2.32,0.233,0.534,0.511,0.52,0.726,0.139,1.329,0.954,0.236,0.572,0.419
Aryna Sabalenka,2020 Shenzhen R16,L vsPliskova,2020,0.571,0.45,0.071,0.8,2.21,0.227,0.305,0.667,0.475,0.141,0.291,1.157,0.485,0.192,0.427,0.392
Aryna Sabalenka,2020 Shenzhen R32,W vsGasparyan,2020,0.8,0.614,0.055,1.0,2.59,0.179,0.572,0.667,0.614,0.257,0.283,1.554,0.827,0.14,0.675,0.501
Aryna Sabalenka,2019 Zhuhai F,W vsBertens,2019,0.684,0.538,0.018,0.0,2.31,0.276,0.446,0.637,0.534,0.787,0.063,1.297,0.682,0.286,0.587,0.393
Aryna Sabalenka,2019 Zhuhai SF,W vsMuchova,2019,0.713,0.614,0.038,0.667,2.44,0.216,0.534,0.58,0.553,0.98,0.167,1.393,0.913,0.191,0.609,0.443
Aryna Sabalenka,2019 Zhuhai RR,W vsSakkari,2019,0.63,0.471,0.0,0.5,2.18,0.172,0.425,0.623,0.516,0.449,0.0,1.184,0.673,0.174,0.568,0.349
Aryna Sabalenka,2019 Zhuhai RR,W vsMertens,2019,0.647,0.527,0.047,0.5,2.5,0.189,0.47,0.509,0.487,0.383,0.232,1.372,0.925,0.157,0.535,0.41
Aryna Sabalenka,2019 Beijing R32,L vsKasatkina,2019,0.7,0.5,0.013,1.0,2.6,0.016,0.504,0.493,0.497,0.517,0.462,1.473,0.978,0.014,0.447,0.459
Aryna Sabalenka,2019 Wuhan F,W vsRiske Amritraj,2019,0.685,0.54,0.082,0.167,2.56,0.036,0.551,0.469,0.51,0.726,0.945,1.438,0.849,0.046,0.561,0.574
Aryna Sabalenka,2019 Wuhan SF,W vsBarty,2019,0.53,0.543,0.03,0.5,2.32,0.344,0.428,0.53,0.474,0.353,0.085,1.183,0.816,0.336,0.521,0.355
Aryna Sabalenka,2019 Wuhan QF,W vsRybakina,2019,0.662,0.49,0.039,0.667,2.72,0.058,0.46,0.58,0.514,0.942,0.518,1.507,0.786,0.056,0.566,0.468
Aryna Sabalenka,2019 Wuhan R16,W vsBertens,2019,0.526,0.533,0.018,1.0,2.15,0.341,0.308,0.63,0.459,0.595,0.051,1.094,0.525,0.349,0.504,0.339
Aryna Sabalenka,2019 Wuhan R32,W vsCollins,2019,0.787,0.757,0.043,1.0,3.06,0.0,0.66,0.6,0.628,0.803,1.0,1.823,0.888,0.0,0.691,0.672
Aryna Sabalenka,2019 Wuhan R64,W vsSasnovich,2019,0.595,0.6,0.095,0.5,2.77,0.2,0.534,0.553,0.54,0.549,0.424,1.473,0.964,0.166,0.594,0.473
Aryna Sabalenka,2019 Zhengzhou QF,L vsMartic,2019,0.733,0.5,0.017,1.0,2.44,0.056,0.49,0.55,0.516,0.583,0.252,1.41,0.888,0.054,0.465,0.429
Aryna Sabalenka,2019 Zhengzhou R16,W vsOstapenko,2019,0.596,0.714,0.064,0.333,2.73,0.0,0.543,0.687,0.608,0.549,1.0,1.452,0.75,0.0,0.669,0.624
Aryna Sabalenka,2019 US Open R64,L vsPutintseva,2019,0.762,0.542,0.032,0.0,2.09,0.123,0.505,0.56,0.529,0.549,0.236,1.228,0.897,0.107,0.476,0.445
Aryna Sabalenka,2019 US Open R128,W vsAzarenka,2019,0.697,0.594,0.01,0.0,2.82,0.154,0.535,0.524,0.527,0.726,0.061,1.595,0.979,0.124,0.58,0.404
Aryna Sabalenka,2019 Cincinnati R16,L vsSakkari,2019,0.66,0.391,0.072,0.286,2.28,0.085,0.375,0.547,0.455,0.549,0.64,1.262,0.709,0.07,0.409,0.463
Aryna Sabalenka,2019 Cincinnati R32,W vsZheng,2019,0.8,0.523,0.0,0.5,2.45,0.111,0.516,0.57,0.539,0.835,0.0,1.47,0.898,0.087,0.593,0.399
Aryna Sabalenka,2019 Cincinnati R64,W vsMartic,2019,0.643,0.583,0.0,0.5,2.22,0.083,0.443,0.592,0.511,0.787,0.0,1.216,0.743,0.068,0.562,0.373
Aryna Sabalenka,2019 Toronto  R64,L vsPavlyuchenkova,2019,0.717,0.439,0.054,0.6,3.05,0.109,0.486,0.499,0.49,0.595,0.425,1.746,0.974,0.094,0.441,0.447
Aryna Sabalenka,2019 San Jose F,L vsZheng,2019,0.681,0.404,0.0,0.5,2.24,0.019,0.44,0.51,0.471,0.34,0.0,1.255,0.87,0.019,0.424,0.335
Aryna Sabalenka,2019 San Jose SF,W vsVekic,2019,0.742,0.63,0.016,1.0,2.54,0.054,0.524,0.697,0.604,0.333,0.245,1.475,0.708,0.04,0.664,0.477
Aryna Sabalenka,2019 San Jose QF,W vsSuarez Navarro,2019,0.79,0.594,0.111,0.778,2.48,0.148,0.58,0.592,0.583,0.98,0.606,1.48,0.976,0.163,0.641,0.56
Aryna Sabalenka,2019 San Jose R16,W vsVandeweghe,2019,0.725,0.568,0.078,0.75,2.99,0.074,0.587,0.58,0.581,0.571,0.73,1.719,0.985,0.059,0.639,0.562
Aryna Sabalenka,2019 Wimbledon R128,L vsRybarikova,2019,0.654,0.412,0.0,0.5,2.39,0.1,0.346,0.56,0.446,0.787,0.0,1.318,0.652,0.094,0.401,0.325
Aryna Sabalenka,2019 Eastbourne QF,L vsBertens,2019,0.633,0.491,0.0,0.5,2.11,0.143,0.458,0.498,0.475,0.449,0.0,1.149,0.922,0.107,0.427,0.343
Aryna Sabalenka,2019 Eastbourne R16,W vsWozniacki,2019,0.706,0.481,0.018,0.5,2.64,0.029,0.46,0.576,0.513,0.399,0.431,1.501,0.793,0.026,0.564,0.455
Aryna Sabalenka,2019 Eastbourne R32,W vsZidansek,2019,0.744,0.638,0.026,0.5,2.31,0.067,0.545,0.622,0.579,0.852,0.325,1.343,0.857,0.062,0.636,0.49
Aryna Sabalenka,2019 Birmingham R32,L vsHsieh,2019,0.741,0.383,0.037,1.0,2.52,0.262,0.477,0.497,0.484,0.432,0.135,1.462,0.961,0.215,0.436,0.378
Aryna Sabalenka,2019 S-Hertogenbosch R32,L vsAiava,2019,0.653,0.576,0.02,1.0,2.4,0.196,0.467,0.583,0.52,0.684,0.097,1.322,0.793,0.167,0.468,0.398
Aryna Sabalenka,2019 Roland Garros R64,L vsAnisimova,2019,0.857,0.521,0.125,0.571,2.61,0.023,0.603,0.578,0.588,0.657,0.999,1.616,0.951,0.03,0.529,0.641
Aryna Sabalenka,2019 Roland Garros R128,W vsCibulkova,2019,0.782,0.558,0.055,1.0,2.81,0.17,0.541,0.691,0.61,0.961,0.296,1.669,0.741,0.114,0.671,0.488
Aryna Sabalenka,2019 Strasbourg SF,L vsYastremska,2019,0.701,0.468,0.164,0.455,2.88,0.026,0.485,0.572,0.524,0.571,1.0,1.633,0.841,0.018,0.471,0.589
Aryna Sabalenka,2019 Strasbourg QF,W vsPuig,2019,0.713,0.667,0.069,0.429,2.73,0.0,0.548,0.652,0.595,0.583,1.0,1.559,0.813,0.0,0.654,0.635
Aryna Sabalenka,2019 Strasbourg R16,W vsSiegemund,2019,0.782,0.628,0.018,1.0,2.17,0.023,0.564,0.626,0.591,0.684,0.497,1.289,0.882,0.016,0.65,0.532
Aryna Sabalenka,2019 Strasbourg R32,W vsZhu,2019,0.867,0.846,0.0,0.5,2.29,0.13,0.696,0.75,0.718,0.741,0.0,1.425,0.897,0.083,0.79,0.522
Aryna Sabalenka,2019 Rome R64,L vsCornet,2019,0.717,0.488,0.0,0.5,2.36,0.077,0.472,0.587,0.524,0.353,0.0,1.351,0.795,0.124,0.472,0.372
Aryna Sabalenka,2019 Madrid R64,L vsKuznetsova,2019,0.827,0.463,0.049,0.25,2.23,0.102,0.491,0.601,0.54,0.98,0.412,1.358,0.803,0.07,0.486,0.483
Aryna Sabalenka,2019 Fed Cup RR,W vsStosur,2019,0.659,0.691,0.089,0.545,2.53,0.082,0.489,0.69,0.582,0.787,0.748,1.399,0.669,0.056,0.64,0.578
Aryna Sabalenka,2019 Fed Cup RR,L vsBarty,2019,0.574,0.543,0.115,0.571,2.41,0.373,0.419,0.596,0.501,0.497,0.292,1.264,0.702,0.388,0.451,0.424
Aryna Sabalenka,2019 Charleston R16,L vsPuig,2019,0.672,0.465,0.141,0.778,2.97,0.067,0.453,0.551,0.497,0.162,0.95,1.655,0.823,0.042,0.447,0.563
Aryna Sabalenka,2019 Charleston R32,W vsBaindl,2019,0.798,0.634,0.034,0.333,2.93,0.055,0.554,0.632,0.588,0.741,0.48,1.756,0.857,0.04,0.647,0.535
Aryna Sabalenka,2019 Miami R64,L vsTomljanovic,2019,0.571,0.429,0.102,0.6,2.43,0.019,0.342,0.577,0.451,0.787,0.998,1.273,0.625,0.015,0.406,0.528
Aryna Sabalenka,2019 Indian Wells R16,L vsKerber,2019,0.703,0.462,0.027,0.5,2.21,0.024,0.524,0.425,0.475,0.595,0.661,1.255,0.82,0.018,0.427,0.488
Aryna Sabalenka,2019 Indian Wells R32,W vsTsurenko,2019,0.778,0.633,0.016,0.0,2.58,0.045,0.572,0.645,0.604,0.698,0.283,1.529,0.866,0.047,0.664,0.492
Aryna Sabalenka,2019 Indian Wells R64,W vsTomljanovic,2019,0.683,0.605,0.079,0.6,2.58,0.1,0.523,0.583,0.549,0.631,0.616,1.447,0.887,0.098,0.604,0.53
Aryna Sabalenka,2019 Dubai R16,L vsBencic,2019,0.734,0.468,0.063,0.5,2.57,0.263,0.495,0.603,0.544,0.44,0.227,1.485,0.805,0.222,0.489,0.431
Aryna Sabalenka,2019 Dubai R32,W vsJorovic,2019,0.576,0.676,0.017,1.0,2.59,0.057,0.504,0.6,0.547,0.835,0.248,1.361,0.826,0.038,0.602,0.439
Aryna Sabalenka,2019 Fed Cup RR,W vsPetkovic,2019,0.768,0.605,0.018,0.0,2.38,0.103,0.552,0.592,0.568,0.169,0.158,1.403,0.923,0.077,0.625,0.451
Aryna Sabalenka,2019 Fed Cup RR,W vsSiegemund,2019,0.732,0.707,0.018,0.0,2.42,0.225,0.537,0.695,0.609,0.517,0.076,1.397,0.729,0.188,0.67,0.458
Aryna Sabalenka,2019 St. Petersburg SF,L vsBertens,2019,0.634,0.511,0.014,1.0,2.3,0.125,0.403,0.585,0.487,0.507,0.103,1.253,0.694,0.087,0.438,0.374
Aryna Sabalenka,2019 St. Petersburg QF,W vsAlexandrova,2019,0.609,0.5,0.116,0.5,2.22,0.038,0.51,0.548,0.526,0.631,0.984,1.191,0.928,0.032,0.578,0.567
Aryna Sabalenka,2019 St. Petersburg R16,W vsVan Uytvanck,2019,0.725,0.552,0.1,0.0,2.07,0.372,0.478,0.708,0.584,0.712,0.256,1.19,0.632,0.31,0.643,0.468
Aryna Sabalenka,2019 Australian Open R32,L vsAnisimova,2019,0.673,0.4,0.096,0.2,2.58,0.065,0.396,0.571,0.477,0.219,0.856,1.439,0.705,0.078,0.429,0.519
Aryna Sabalenka,2019 Australian Open R64,W vsBoulter,2019,0.683,0.605,0.063,0.75,2.67,0.143,0.496,0.619,0.552,0.644,0.39,1.498,0.781,0.108,0.607,0.483
Aryna Sabalenka,2019 Australian Open R128,W vsKalinskaya,2019,0.714,0.575,0.036,0.5,2.71,0.226,0.48,0.63,0.549,0.819,0.151,1.548,0.741,0.206,0.603,0.431
Aryna Sabalenka,2019 Sydney R32,L vsKvitova,2019,0.581,0.528,0.081,0.4,2.62,0.147,0.329,0.645,0.476,0.252,0.475,1.381,0.532,0.134,0.429,0.448
Aryna Sabalenka,2019 Shenzhen F,W vsRiske Amritraj,2019,0.706,0.481,0.028,0.333,2.63,0.071,0.476,0.539,0.504,0.803,0.333,1.496,0.882,0.047,0.554,0.434
Aryna Sabalenka,2019 Shenzhen SF,W vsWang,2019,0.791,0.559,0.0,0.5,2.43,0.028,0.56,0.573,0.563,0.905,0.0,1.451,0.973,0.022,0.62,0.411
Aryna Sabalenka,2019 Shenzhen R16,W vsAlexandrova,2019,0.651,0.61,0.032,1.0,2.54,0.0,0.52,0.596,0.554,0.905,0.997,1.398,0.858,0.0,0.609,0.595
Aryna Sabalenka,2019 Shenzhen R32,W vsMaria,2019,0.734,0.638,0.038,0.667,2.39,0.767,0.507,0.683,0.588,0.923,0.049,1.381,0.704,0.819,0.646,0.437
Aryna Sabalenka,2018 Zhuhai R16,W vsBarty,2018,0.684,0.513,0.035,0.5,2.46,0.488,0.438,0.552,0.49,0.819,0.07,1.381,0.797,0.49,0.539,0.381
Aryna Sabalenka,2018 Zhuhai R16,L vsGarcia,2018,0.814,0.354,0.017,1.0,2.54,0.0,0.487,0.443,0.464,0.961,0.935,1.536,0.915,0.0,0.418,0.539
Aryna Sabalenka,2018 Tianjin QF,L vsBacsinszky,2018,0.748,0.494,0.029,0.667,2.65,0.25,0.508,0.51,0.506,0.595,0.111,1.544,0.996,0.173,0.455,0.401
Aryna Sabalenka,2018 Beijing QF,L vsWang,2018,0.812,0.449,0.012,0.0,2.7,0.038,0.482,0.564,0.518,0.247,0.245,1.631,0.847,0.032,0.57,0.433
Aryna Sabalenka,2018 Beijing R16,W vsGarcia,2018,0.845,0.575,0.039,1.0,2.55,0.0,0.593,0.547,0.568,0.887,0.999,1.568,0.912,0.0,0.625,0.632
Aryna Sabalenka,2018 Beijing R32,W vsMuguruza,2018,0.789,0.56,0.011,0.0,2.61,0.021,0.566,0.521,0.542,0.942,0.341,1.556,0.915,0.019,0.596,0.475
Aryna Sabalenka,2018 Wuhan F,W vsKontaveit,2018,0.804,0.533,0.054,0.333,2.47,0.056,0.58,0.527,0.552,0.487,0.674,1.485,0.898,0.046,0.607,0.548
Aryna Sabalenka,2018 Wuhan SF,W vsBarty,2018,0.681,0.489,0.072,0.4,2.45,0.462,0.471,0.568,0.515,0.803,0.151,1.373,0.823,0.459,0.566,0.404
Aryna Sabalenka,2018 Wuhan QF,W vsCibulkova,2018,0.729,0.651,0.017,1.0,2.59,0.026,0.576,0.553,0.562,0.923,0.44,1.493,0.954,0.025,0.619,0.507
Aryna Sabalenka,2018 Wuhan R16,W vsKenin,2018,0.567,0.5,0.0,0.5,2.78,0.135,0.477,0.449,0.461,0.869,0.0,1.452,0.946,0.1,0.508,0.329
Aryna Sabalenka,2018 Wuhan R32,W vsSvitolina,2018,0.648,0.576,0.033,0.667,2.29,0.097,0.454,0.62,0.53,0.98,0.299,1.258,0.718,0.09,0.583,0.442
Aryna Sabalenka,2018 Wuhan R64,W vsSuarez Navarro,2018,0.733,0.429,0.012,1.0,2.41,0.217,0.458,0.524,0.487,0.803,0.053,1.392,0.878,0.198,0.536,0.367
Aryna Sabalenka,2018 US Open R16,L vsOsaka,2018,0.609,0.547,0.046,0.25,2.58,0.018,0.448,0.542,0.491,0.98,0.928,1.384,0.829,0.015,0.442,0.546
Aryna Sabalenka,2018 US Open R32,W vsKvitova,2018,0.701,0.611,0.052,0.0,2.84,0.056,0.529,0.651,0.584,0.98,0.657,1.61,0.784,0.042,0.642,0.548
Aryna Sabalenka,2018 US Open R64,W vsZvonareva,2018,0.507,0.568,0.014,0.0,2.4,0.092,0.469,0.434,0.45,0.56,0.136,1.206,0.932,0.073,0.495,0.357
Aryna Sabalenka,2018 New Haven F,W vsSuarez Navarro,2018,0.82,0.54,0.049,0.333,2.4,0.243,0.527,0.621,0.569,0.375,0.191,1.456,0.828,0.229,0.626,0.46
Aryna Sabalenka,2018 New Haven SF,W vsGoerges,2018,0.708,0.508,0.045,1.0,2.45,0.237,0.501,0.537,0.516,0.631,0.18,1.395,0.931,0.225,0.568,0.415
Aryna Sabalenka,2018 New Haven QF,W vsBencic,2018,0.705,0.484,0.023,1.0,2.74,0.033,0.515,0.52,0.515,0.835,0.489,1.557,0.99,0.025,0.567,0.468
Aryna Sabalenka,2018 New Haven R16,W vsSaville,2018,0.733,0.532,0.029,0.333,2.77,0.066,0.513,0.61,0.557,0.787,0.364,1.6,0.824,0.068,0.612,0.469
Aryna Sabalenka,2018 New Haven R32,W vsStosur,2018,0.717,0.553,0.0,0.5,2.24,0.233,0.461,0.617,0.533,0.67,0.0,1.282,0.733,0.225,0.586,0.387
Aryna Sabalenka,2018 Cincinnati SF,L vsHalep,2018,0.782,0.465,0.018,1.0,2.31,0.021,0.496,0.523,0.507,0.631,0.523,1.372,0.948,0.019,0.456,0.483
Aryna Sabalenka,2018 Cincinnati QF,W vsKeys,2018,0.527,0.621,0.055,0.667,2.46,0.053,0.381,0.714,0.537,0.835,0.703,1.252,0.513,0.046,0.59,0.513
Aryna Sabalenka,2018 Cincinnati R16,W vsGarcia,2018,0.669,0.519,0.008,1.0,2.3,0.0,0.474,0.527,0.496,0.267,0.664,1.28,0.899,0.0,0.546,0.496
Aryna Sabalenka,2018 Cincinnati R32,W vsPliskova,2018,0.633,0.42,0.076,0.833,2.28,0.147,0.41,0.536,0.468,0.741,0.45,1.241,0.778,0.119,0.514,0.429
Aryna Sabalenka,2018 Cincinnati R64,W vsKonta,2018,0.67,0.507,0.037,0.75,2.76,0.071,0.507,0.513,0.507,0.538,0.427,1.536,0.987,0.062,0.558,0.453
Aryna Sabalenka,2018 Montreal R16,L vsMertens,2018,0.674,0.517,0.022,1.0,2.66,0.095,0.453,0.566,0.504,0.712,0.207,1.484,0.797,0.087,0.454,0.409
Aryna Sabalenka,2018 Montreal R32,W vsWozniacki,2018,0.635,0.5,0.029,0.333,2.67,0.081,0.428,0.551,0.484,0.257,0.308,1.455,0.782,0.068,0.533,0.414
Aryna Sabalenka,2018 Montreal R64,W vsBogdan,2018,0.705,0.516,0.011,1.0,2.15,0.34,0.462,0.585,0.518,0.869,0.031,1.222,0.782,0.266,0.57,0.382
Aryna Sabalenka,2018 Eastbourne F,L vsWozniacki,2018,0.745,0.586,0.053,0.4,2.55,0.029,0.522,0.638,0.574,0.44,0.876,1.483,0.792,0.024,0.632,0.593
Aryna Sabalenka,2018 Eastbourne SF,W vsRadwanska,2018,0.765,0.71,0.037,1.0,2.51,0.163,0.589,0.624,0.602,0.399,0.211,1.477,0.932,0.11,0.663,0.493
Aryna Sabalenka,2018 Eastbourne QF,W vsPliskova,2018,0.528,0.596,0.019,0.0,2.52,0.111,0.43,0.605,0.511,0.698,0.156,1.284,0.705,0.083,0.562,0.386
Aryna Sabalenka,2018 Eastbourne R16,W vsMertens,2018,0.641,0.493,0.051,0.833,2.42,0.117,0.433,0.565,0.493,0.869,0.381,1.324,0.768,0.092,0.543,0.434
Aryna Sabalenka,2018 Eastbourne R32,W vsGoerges,2018,0.519,0.619,0.222,0.833,2.71,0.133,0.485,0.641,0.556,0.67,0.914,1.372,0.733,0.112,0.612,0.583
Aryna Sabalenka,2018 Eastbourne R64,W vsVickery,2018,0.733,0.655,0.027,0.0,2.61,0.13,0.571,0.615,0.589,0.905,0.191,1.508,0.915,0.1,0.648,0.467
Aryna Sabalenka,2018 Mallorca R32,L vsVan Uytvanck,2018,0.632,0.527,0.046,0.5,2.24,0.29,0.47,0.525,0.494,0.787,0.152,1.219,0.897,0.222,0.444,0.393
Aryna Sabalenka,2018 s-Hertogenbosch QF,L vsFlipkens,2018,0.696,0.385,0.071,0.75,2.19,0.721,0.371,0.558,0.458,0.98,0.097,1.238,0.688,0.714,0.412,0.361
Aryna Sabalenka,2018 s-Hertogenbosch R32,W vsVondrousova,2018,0.757,0.464,0.027,0.5,2.71,0.306,0.535,0.481,0.507,0.887,0.085,1.587,0.897,0.266,0.558,0.392
Aryna Sabalenka,2018 Rome R64,L vsHsieh,2018,0.746,0.455,0.034,0.5,2.12,0.214,0.476,0.582,0.523,0.527,0.151,1.234,0.809,0.214,0.471,0.406
Aryna Sabalenka,2018 Rome Q2,L vsVikhlyantseva,2018,0.689,0.549,0.014,1.0,2.5,0.043,0.552,0.496,0.523,0.326,0.258,1.408,0.894,0.044,0.471,0.432
Aryna Sabalenka,2018 Madrid R64,L vsPera,2018,0.662,0.51,0.104,0.875,2.88,0.125,0.482,0.55,0.512,0.819,0.647,1.596,0.872,0.121,0.461,0.507
Aryna Sabalenka,2018 Istanbul R32,L vsHercog,2018,0.59,0.389,0.066,1.0,2.16,0.024,0.377,0.505,0.436,0.477,0.96,1.145,0.773,0.021,0.392,0.507
Aryna Sabalenka,2018 Fed Cup RR,L vsHruncakova,2018,0.577,0.45,0.106,0.636,2.79,0.11,0.441,0.496,0.465,0.835,0.708,1.467,0.897,0.095,0.418,0.479
Aryna Sabalenka,2018 Fed Cup RR,W vsSchmiedlova,2018,0.667,0.65,0.033,0.5,2.26,0.109,0.474,0.665,0.562,0.771,0.27,1.256,0.682,0.083,0.618,0.463
Aryna Sabalenka,2018 Lugano F,L vsMertens,2018,0.615,0.438,0.058,0.667,2.51,0.213,0.402,0.525,0.458,0.326,0.254,1.351,0.782,0.191,0.412,0.385
Aryna Sabalenka,2018 Lugano SF,W vsVoegele,2018,0.702,0.725,0.053,0.0,2.78,0.152,0.528,0.633,0.575,0.835,0.316,1.577,0.81,0.125,0.633,0.5
Aryna Sabalenka,2018 Lugano QF,W vsGiorgi,2018,0.542,0.692,0.083,0.5,2.34,0.074,0.575,0.444,0.51,0.819,0.757,1.203,0.77,0.077,0.561,0.538
Aryna Sabalenka,2018 Lugano R16,W vsHercog,2018,0.66,0.71,0.043,1.0,2.83,0.147,0.531,0.7,0.609,0.449,0.267,1.566,0.713,0.136,0.669,0.486
Aryna Sabalenka,2018 Lugano R32,W vsBuzarnescu,2018,0.701,0.547,0.047,0.6,2.2,0.2,0.506,0.544,0.522,0.507,0.22,1.247,0.927,0.182,0.574,0.431
Aryna Sabalenka,2018 Miami R64,L vsKvitova,2018,0.607,0.574,0.09,0.375,2.48,0.066,0.465,0.615,0.534,0.942,0.829,1.328,0.741,0.057,0.48,0.549
Aryna Sabalenka,2018 Miami R128,W vsBrengle,2018,0.78,0.615,0.0,0.5,2.34,0.26,0.552,0.606,0.575,0.942,0.0,1.388,0.899,0.216,0.632,0.423
Aryna Sabalenka,2018 Indian Wells R32,L vsVondrousova,2018,0.478,0.409,0.087,0.5,2.41,0.205,0.351,0.436,0.39,0.819,0.384,1.187,0.844,0.148,0.351,0.365
Aryna Sabalenka,2018 Indian Wells R64,W vsKuznetsova,2018,0.635,0.636,0.019,1.0,2.4,0.089,0.543,0.428,0.486,0.726,0.19,1.308,0.795,0.083,0.535,0.416
Aryna Sabalenka,2018 Indian Wells R128,W vsLepchenko,2018,0.667,0.658,0.053,0.667,2.47,0.035,0.575,0.573,0.572,0.497,0.827,1.372,0.996,0.034,0.629,0.581
Aryna Sabalenka,2018 Fed Cup RR,W vsMaria,2018,0.663,0.655,0.108,0.556,2.48,0.672,0.483,0.644,0.557,0.375,0.157,1.375,0.724,0.65,0.612,0.45
Aryna Sabalenka,2018 Fed Cup RR,W vsLottner,2018,0.653,0.547,0.082,0.375,2.52,0.145,0.479,0.577,0.523,0.34,0.485,1.389,0.822,0.107,0.576,0.48
Aryna Sabalenka,2018 Australian Open R128,L vsBarty,2018,0.642,0.529,0.028,0.667,2.6,0.303,0.51,0.462,0.485,0.549,0.089,1.423,0.91,0.296,0.436,0.377
Aryna Sabalenka,2018 Hobart QF,L vsTsurenko,2018,0.341,0.571,0.146,0.667,2.75,0.125,0.378,0.457,0.413,0.98,0.794,1.229,0.854,0.11,0.372,0.466
Aryna Sabalenka,2018 Hobart R16,W vsZhang,2018,0.62,0.649,0.043,1.0,2.63,0.059,0.51,0.559,0.531,0.219,0.553,1.42,0.907,0.043,0.584,0.504
Aryna Sabalenka,2018 Hobart R32,W vsBouchard,2018,0.492,0.774,0.048,0.0,2.62,0.111,0.507,0.714,0.602,0.619,0.377,1.303,0.661,0.08,0.662,0.486
Aryna Sabalenka,2018 Shenzhen QF,L vsHalep,2018,0.524,0.409,0.071,1.0,2.86,0.054,0.409,0.35,0.379,0.399,0.804,1.453,0.889,0.044,0.341,0.453
Aryna Sabalenka,2018 Shenzhen R16,W vsKovinic,2018,0.703,0.846,0.0,0.5,2.34,0.2,0.581,0.724,0.646,0.98,0.0,1.328,0.752,0.196,0.71,0.471
Aryna Sabalenka,2018 Shenzhen R32,W vsNiculescu,2018,0.826,0.702,0.029,1.0,2.65,0.474,0.602,0.664,0.628,0.232,0.06,1.613,0.882,0.464,0.691,0.479
Aryna Sabalenka,2017 Mumbai F,W vsJakupovic,2017,0.673,0.649,0.036,0.5,2.52,0.114,0.533,0.593,0.559,0.383,0.282,1.405,0.887,0.106,0.615,0.466
Aryna Sabalenka,2017 Fed Cup RR,W vsStephens,2017,0.721,0.581,0.012,1.0,2.48,0.164,0.496,0.616,0.551,0.538,0.069,1.423,0.787,0.134,0.606,0.414
Aryna Sabalenka,2017 Fed Cup RR,L vsVandeweghe,2017,0.597,0.459,0.032,1.0,2.6,0.026,0.379,0.522,0.445,0.852,0.711,1.384,0.752,0.019,0.4,0.469
Aryna Sabalenka,2017 Tianjin F,L vsSharapova,2017,0.675,0.607,0.072,0.667,2.75,0.033,0.497,0.581,0.534,0.67,0.932,1.535,0.845,0.026,0.481,0.587
Aryna Sabalenka,2017 Tianjin SF,W vsErrani,2017,0.776,0.868,0.061,0.333,2.2,0.143,0.683,0.63,0.655,0.67,0.379,1.302,0.901,0.119,0.72,0.577
Aryna Sabalenka,2017 Tianjin QF,W vsZhu,2017,0.587,0.676,0.063,0.5,2.26,0.143,0.44,0.658,0.541,0.644,0.39,1.196,0.646,0.109,0.595,0.475
Aryna Sabalenka,2017 Tianjin R16,W vsDuan,2017,0.689,0.686,0.027,1.0,2.4,0.125,0.531,0.619,0.57,0.487,0.197,1.351,0.838,0.125,0.627,0.461
Aryna Sabalenka,2017 Tianjin R32,W vsHan,2017,0.68,0.647,0.04,0.333,2.43,0.05,0.507,0.683,0.588,0.657,0.583,1.361,0.703,0.042,0.647,0.535
Aryna Sabalenka,2017 Tashkent SF,L vsBabos,2017,0.604,0.531,0.057,0.333,2.55,0.171,0.339,0.603,0.463,0.34,0.305,1.363,0.59,0.163,0.416,0.412
Aryna Sabalenka,2017 Tashkent QF,W vsBaindl,2017,0.725,0.561,0.077,0.714,2.62,0.084,0.541,0.552,0.544,0.644,0.675,1.507,0.979,0.082,0.598,0.54
Aryna Sabalenka,2017 Tashkent R16,W vsMaria,2017,0.706,0.583,0.024,1.0,2.44,0.302,0.461,0.6,0.525,0.383,0.077,1.388,0.758,0.283,0.577,0.408
Aryna Sabalenka,2017 Tashkent R32,W vsRodina,2017,0.6,0.667,0.044,0.0,2.27,0.077,0.492,0.627,0.554,0.183,0.467,1.211,0.763,0.062,0.609,0.492
Aryna Sabalenka,2017 Washington R32,W vsDavis,2017,0.671,0.627,0.013,1.0,2.48,0.333,0.541,0.542,0.539,0.961,0.038,1.381,0.998,0.282,0.593,0.404
Aryna Sabalenka,2017 Fed Cup RR,L vsBacsinszky,2017,0.646,0.595,0.092,0.333,2.69,0.154,0.467,0.635,0.544,0.869,0.509,1.476,0.714,0.176,0.49,0.5
Aryna Sabalenka,2017 Fed Cup RR,W vsGolubic,2017,0.8,0.568,0.0,0.5,2.55,0.271,0.542,0.578,0.557,0.923,0.0,1.53,0.93,0.246,0.612,0.413
