Player,Match,Result,Year,Serve_Power,Serve_Quick_Points,Serve_Rally_Control,First_Serve_Power,First_Serve_Dominance,Second_Serve_Aggression,Second_Serve_Effectiveness,First_Serve_Placement_Strategy,Second_Serve_Placement_Strategy,Serve_Type_Adaptability,Serve_Consistency,Power_Control_Balance,Clutch_Serving,Serve_Tactical_Intelligence,Serve_Match_Impact,Overall_Serve_Game
Aryna Sabalenka,2025 Madrid F,W vsGauff,2025,0.328,0.379,0.541,0.3,0.385,0.3,0.473,0.574,0.672,0.424,0.838,0.584,0.75,0.569,0.466,0.453
Aryna Sabalenka,2025 Madrid SF,W vsSvitolina,2025,0.229,0.443,0.56,0.3,0.456,0.35,0.352,0.689,0.642,0.406,0.812,0.475,0.834,0.595,0.447,0.435
Aryna Sabalenka,2025 Madrid R64,W vsBlinkova,2025,0.236,0.403,0.56,0.278,0.44,0.64,0.36,0.762,0.334,0.402,0.852,0.48,0.625,0.505,0.442,0.416
Aryna Sabalenka,2025 Stuttgart F,L vsOstapenko,2025,0.277,0.354,0.256,0.324,0.35,0.52,0.271,0.681,0.648,0.312,0.854,0.742,0.9,0.571,0.281,0.385
Aryna Sabalenka,2025 Stuttgart SF,W vsPaolini,2025,0.269,0.418,0.383,0.432,0.5,0.42,0.199,0.618,0.757,0.361,0.548,0.693,0.875,0.595,0.397,0.423
Aryna Sabalenka,2025 Miami F,W vsPegula,2025,0.262,0.385,0.426,0.279,0.371,0.49,0.317,0.365,0.647,0.345,0.898,0.572,0.584,0.457,0.379,0.386
Aryna Sabalenka,2025 Miami SF,W vsPaolini,2025,0.216,0.471,0.658,0.225,0.46,0.9,0.284,0.544,0.283,0.378,0.703,0.366,0.334,0.383,0.416,0.401
Aryna Sabalenka,2025 Miami QF,W vsZheng,2025,0.203,0.339,0.447,0.25,0.323,1.04,0.313,0.444,0.57,0.317,0.98,0.509,0.666,0.463,0.349,0.358
Aryna Sabalenka,2025 Indian Wells F,L vsAndreeva,2025,0.228,0.315,0.443,0.273,0.362,0.71,0.26,0.627,0.58,0.314,0.816,0.568,0.857,0.538,0.282,0.375
Aryna Sabalenka,2025 Indian Wells SF,W vsKeys,2025,0.25,0.425,0.655,0.286,0.415,0.03,0.47,0.32,0.208,0.438,0.895,0.452,0.0,0.281,0.482,0.409
Aryna Sabalenka,2025 Indian Wells QF,W vsSamsonova,2025,0.286,0.367,0.486,0.294,0.397,1.04,0.295,0.682,0.267,0.349,0.816,0.581,0.5,0.429,0.384,0.395
Aryna Sabalenka,2025 Indian Wells R64,W vsKessler,2025,0.351,0.544,0.686,0.5,0.623,0.09,0.352,0.463,0.407,0.497,0.581,0.592,0.0,0.373,0.547,0.494
Aryna Sabalenka,2025 Dubai R16,L vsTauson,2025,0.203,0.275,0.327,0.244,0.281,0.21,0.248,0.637,0.699,0.265,0.936,0.616,0.857,0.544,0.238,0.34
Aryna Sabalenka,2025 Australian Open F,L vsKeys,2025,0.25,0.448,0.507,0.254,0.368,1.04,0.515,0.594,0.338,0.433,0.746,0.475,0.428,0.445,0.39,0.416
Aryna Sabalenka,2025 Australian Open SF,W vsBadosa,2025,0.245,0.449,0.639,0.226,0.414,0.37,0.45,0.375,0.31,0.428,0.931,0.401,0.0,0.308,0.471,0.406
Aryna Sabalenka,2025 Australian Open QF,W vsPavlyuchenkova,2025,0.32,0.453,0.417,0.385,0.459,0.53,0.272,0.577,0.33,0.372,0.689,0.66,0.25,0.38,0.409,0.41
Aryna Sabalenka,2025 Australian Open R16,W vsAndreeva,2025,0.296,0.389,0.579,0.361,0.473,1.04,0.279,0.465,0.556,0.382,0.679,0.582,0.5,0.457,0.421,0.427
Aryna Sabalenka,2025 Australian Open R32,W vsTauson,2025,0.167,0.361,0.466,0.192,0.337,0.04,0.279,0.636,0.372,0.309,0.891,0.4,0.3,0.385,0.34,0.332
Aryna Sabalenka,2025 Australian Open R64,W vsBouzas Maneiro,2025,0.238,0.413,0.483,0.278,0.389,0.57,0.333,0.602,0.744,0.362,0.895,0.51,0.786,0.571,0.398,0.409
Aryna Sabalenka,2025 Brisbane F,W vsKudermetova,2025,0.312,0.455,0.509,0.354,0.47,1.04,0.333,0.733,0.737,0.406,0.761,0.589,1.0,0.656,0.446,0.466
Aryna Sabalenka,2025 Brisbane SF,W vsAndreeva,2025,0.205,0.359,0.557,0.279,0.444,0.69,0.258,0.526,0.745,0.357,0.69,0.475,0.75,0.547,0.393,0.397
Aryna Sabalenka,2025 Brisbane R32,W vsZarazua,2025,0.214,0.405,0.656,0.346,0.49,1.19,0.287,0.612,0.327,0.395,0.666,0.476,0.334,0.413,0.435,0.41
Aryna Sabalenka,2024 Riyadh Finals SF,W vsGauff,2024,0.123,0.219,0.393,0.14,0.22,0.19,0.28,0.704,0.663,0.246,0.887,0.394,0.762,0.524,0.271,0.296
Aryna Sabalenka,2024 Riyadh Finals RR,W vsZheng,2024,0.407,0.537,0.613,0.529,0.688,0.43,0.248,0.802,0.27,0.485,0.415,0.664,0.5,0.508,0.533,0.518
Aryna Sabalenka,2024 Riyadh Finals RR,W vsPaolini,2024,0.246,0.385,0.581,0.286,0.423,0.81,0.373,0.352,0.241,0.398,0.906,0.493,0.0,0.278,0.438,0.385
Aryna Sabalenka,2024 Riyadh Finals RR,L vsRybakina,2024,0.24,0.4,0.453,0.271,0.419,0.75,0.253,0.667,0.636,0.342,0.717,0.527,1.0,0.597,0.308,0.404
Aryna Sabalenka,2024 Wuhan F,W vsZheng,2024,0.215,0.355,0.458,0.246,0.345,0.61,0.306,0.605,0.784,0.326,0.925,0.503,0.834,0.575,0.359,0.383
Aryna Sabalenka,2024 Wuhan SF,W vsGauff,2024,0.135,0.24,0.443,0.179,0.313,0.56,0.154,0.408,0.627,0.239,0.727,0.419,0.405,0.384,0.263,0.289
Aryna Sabalenka,2024 Wuhan QF,W vsFrech,2024,0.158,0.351,0.542,0.219,0.308,1.04,0.377,0.5,0.383,0.338,0.871,0.391,0.25,0.362,0.372,0.343
Aryna Sabalenka,2024 Wuhan R16,W vsPutintseva,2024,0.207,0.317,0.426,0.275,0.382,0.04,0.197,0.604,0.772,0.296,0.69,0.559,0.75,0.544,0.326,0.364
Aryna Sabalenka,2024 Wuhan R32,W vsSiniakova,2024,0.254,0.397,0.545,0.295,0.39,0.63,0.416,0.67,0.804,0.4,0.949,0.516,0.834,0.622,0.44,0.437
Aryna Sabalenka,2024 Beijing QF,L vsMuchova,2024,0.243,0.369,0.493,0.246,0.356,0.09,0.376,0.743,0.423,0.363,0.961,0.504,0.8,0.538,0.327,0.4
Aryna Sabalenka,2024 Beijing R16,W vsKeys,2024,0.256,0.442,0.613,0.29,0.501,0.03,0.194,0.803,0.2,0.359,0.541,0.468,0.5,0.444,0.395,0.413
Aryna Sabalenka,2024 Beijing R32,W vsKrueger,2024,0.262,0.344,0.524,0.231,0.376,0.61,0.333,0.381,0.64,0.355,0.916,0.504,0.5,0.446,0.39,0.389
Aryna Sabalenka,2024 Beijing R64,W vsSawangkaew,2024,0.219,0.422,0.551,0.3,0.464,0.54,0.259,0.849,0.259,0.369,0.663,0.48,0.5,0.469,0.406,0.4
Aryna Sabalenka,2024 US Open F,W vsPegula,2024,0.22,0.366,0.475,0.327,0.438,0.49,0.217,0.371,0.405,0.336,0.643,0.562,0.416,0.373,0.369,0.366
Aryna Sabalenka,2024 US Open SF,W vsNavarro,2024,0.29,0.464,0.568,0.362,0.503,0.38,0.297,0.48,0.381,0.407,0.662,0.551,0.25,0.385,0.448,0.427
Aryna Sabalenka,2024 US Open QF,W vsZheng,2024,0.31,0.448,0.568,0.39,0.484,0.17,0.332,0.43,0.292,0.413,0.738,0.589,0.0,0.309,0.454,0.423
Aryna Sabalenka,2024 US Open R16,W vsMertens,2024,0.266,0.484,0.591,0.333,0.513,0.14,0.353,0.631,0.521,0.438,0.726,0.498,0.5,0.506,0.482,0.45
Aryna Sabalenka,2024 US Open R32,W vsAlexandrova,2024,0.347,0.472,0.465,0.422,0.471,0.75,0.394,0.593,0.597,0.434,0.857,0.666,0.584,0.528,0.477,0.464
Aryna Sabalenka,2024 US Open R64,W vsBronzetti,2024,0.463,0.61,0.619,0.567,0.599,0.06,0.442,0.423,0.333,0.525,0.731,0.678,0.0,0.361,0.578,0.53
Aryna Sabalenka,2024 US Open R128,W vsHon,2024,0.267,0.45,0.545,0.222,0.415,1.04,0.379,0.488,0.671,0.397,0.931,0.448,0.875,0.566,0.436,0.431
Aryna Sabalenka,2024 Cincinnati F,W vsPegula,2024,0.608,0.686,0.579,0.706,0.715,0.33,0.515,0.269,0.376,0.62,0.67,0.771,0.0,0.377,0.683,0.6
Aryna Sabalenka,2024 Cincinnati SF,W vsSwiatek,2024,0.317,0.413,0.429,0.394,0.45,0.64,0.319,0.696,0.731,0.389,0.769,0.678,1.0,0.641,0.427,0.451
Aryna Sabalenka,2024 Cincinnati QF,W vsSamsonova,2024,0.42,0.46,0.586,0.441,0.509,1.04,0.412,0.579,0.328,0.463,0.824,0.668,0.25,0.417,0.509,0.486
Aryna Sabalenka,2024 Cincinnati R16,W vsSvitolina,2024,0.298,0.491,0.622,0.343,0.489,0.61,0.44,0.697,0.826,0.465,0.906,0.512,0.834,0.657,0.511,0.493
Aryna Sabalenka,2024 Cincinnati R32,W vsCocciaretto,2024,0.311,0.525,0.667,0.421,0.612,0.31,0.306,0.801,0.279,0.47,0.542,0.54,0.5,0.504,0.518,0.488
Aryna Sabalenka,2024 Toronto QF,L vsAnisimova,2024,0.233,0.283,0.421,0.242,0.303,1.37,0.383,0.435,0.288,0.338,0.853,0.576,0.166,0.313,0.304,0.341
Aryna Sabalenka,2024 Toronto R16,W vsBoulter,2024,0.265,0.485,0.609,0.242,0.417,0.34,0.502,0.326,0.383,0.453,0.843,0.426,0.125,0.348,0.499,0.425
Aryna Sabalenka,2024 Toronto R32,W vsYuan,2024,0.362,0.553,0.5,0.44,0.529,0.06,0.439,0.641,0.721,0.485,0.835,0.634,0.75,0.616,0.534,0.508
Aryna Sabalenka,2024 Washington SF,L vsBouzkova,2024,0.319,0.457,0.4,0.323,0.398,0.62,0.415,0.407,0.645,0.404,0.966,0.624,0.417,0.455,0.364,0.424
Aryna Sabalenka,2024 Washington QF,W vsAzarenka,2024,0.389,0.514,0.41,0.5,0.582,0.85,0.301,0.564,0.753,0.452,0.569,0.736,0.75,0.594,0.497,0.492
Aryna Sabalenka,2024 Washington R16,W vsRakhimova,2024,0.294,0.505,0.556,0.4,0.533,0.94,0.425,0.624,0.736,0.482,0.805,0.566,0.812,0.627,0.53,0.489
Aryna Sabalenka,2024 Berlin R16,W vsKasatkina,2024,0.313,0.5,0.576,0.37,0.449,1.04,0.468,0.389,0.689,0.456,0.961,0.553,0.5,0.498,0.501,0.468
Aryna Sabalenka,2024 Roland Garros QF,L vsAndreeva,2024,0.196,0.327,0.413,0.228,0.323,0.41,0.306,0.794,0.61,0.314,0.967,0.506,0.816,0.569,0.282,0.365
Aryna Sabalenka,2024 Roland Garros R16,W vsNavarro,2024,0.326,0.558,0.655,0.423,0.581,1.04,0.389,0.363,0.214,0.491,0.681,0.542,0.0,0.312,0.54,0.471
Aryna Sabalenka,2024 Roland Garros R32,W vsBadosa,2024,0.157,0.294,0.524,0.171,0.336,0.28,0.232,0.572,0.321,0.287,0.811,0.373,0.334,0.36,0.316,0.317
Aryna Sabalenka,2024 Roland Garros R64,W vsUchijima,2024,0.255,0.532,0.657,0.207,0.426,1.04,0.519,0.689,0.358,0.466,0.83,0.365,0.5,0.496,0.513,0.457
Aryna Sabalenka,2024 Roland Garros R128,W vsAndreeva,2024,0.16,0.38,0.61,0.188,0.403,0.37,0.289,0.627,0.687,0.349,0.797,0.332,0.75,0.552,0.384,0.384
Aryna Sabalenka,2024 Rome F,L vsSwiatek,2024,0.167,0.315,0.419,0.219,0.329,0.14,0.247,0.807,0.6,0.29,0.848,0.471,1.0,0.597,0.261,0.353
Aryna Sabalenka,2024 Rome SF,W vsCollins,2024,0.362,0.483,0.514,0.361,0.472,0.06,0.42,0.642,0.3,0.446,0.902,0.611,0.5,0.467,0.491,0.465
Aryna Sabalenka,2024 Rome QF,W vsOstapenko,2024,0.347,0.551,0.613,0.351,0.535,0.03,0.341,0.413,0.3,0.444,0.678,0.53,0.0,0.32,0.489,0.456
Aryna Sabalenka,2024 Rome R16,W vsSvitolina,2024,0.119,0.314,0.495,0.14,0.315,0.66,0.218,0.706,0.791,0.269,0.825,0.303,0.818,0.571,0.296,0.328
Aryna Sabalenka,2024 Rome R32,W vsYastremska,2024,0.44,0.56,0.64,0.455,0.512,1.09,0.693,0.755,0.75,0.592,0.696,0.625,1.0,0.738,0.651,0.589
Aryna Sabalenka,2024 Rome R64,W vsVolynets,2024,0.214,0.327,0.466,0.221,0.344,0.57,0.282,0.605,0.706,0.314,0.884,0.489,0.889,0.566,0.346,0.374
Aryna Sabalenka,2024 Madrid F,L vsSwiatek,2024,0.263,0.407,0.47,0.353,0.451,0.07,0.281,0.444,0.537,0.372,0.711,0.596,0.416,0.428,0.335,0.401
Aryna Sabalenka,2024 Madrid SF,W vsRybakina,2024,0.239,0.409,0.603,0.321,0.468,0.11,0.302,0.36,0.396,0.391,0.718,0.495,0.2,0.347,0.43,0.399
Aryna Sabalenka,2024 Madrid QF,W vsAndreeva,2024,0.192,0.385,0.683,0.242,0.436,0.4,0.332,0.423,0.25,0.387,0.812,0.379,0.0,0.289,0.425,0.377
Aryna Sabalenka,2024 Madrid R16,W vsCollins,2024,0.264,0.429,0.5,0.317,0.436,0.67,0.325,0.622,0.616,0.383,0.8,0.546,0.916,0.584,0.422,0.43
Aryna Sabalenka,2024 Madrid R32,W vsMontgomery,2024,0.297,0.406,0.582,0.306,0.423,0.62,0.416,0.641,0.41,0.418,0.987,0.536,0.334,0.444,0.46,0.432
Aryna Sabalenka,2024 Madrid R64,W vsLinette,2024,0.244,0.467,0.597,0.327,0.511,0.33,0.329,0.516,0.733,0.426,0.695,0.483,0.75,0.57,0.468,0.449
Aryna Sabalenka,2024 Stuttgart QF,L vsVondrousova,2024,0.218,0.346,0.442,0.279,0.387,0.46,0.295,0.227,0.388,0.344,0.832,0.548,0.0,0.26,0.309,0.342
Aryna Sabalenka,2024 Stuttgart R16,W vsBadosa,2024,0.245,0.406,0.506,0.314,0.436,0.03,0.27,0.504,0.568,0.359,0.716,0.537,0.646,0.487,0.395,0.402
Aryna Sabalenka,2024 Miami R32,L vsKalinina,2024,0.211,0.316,0.426,0.3,0.388,0.74,0.165,0.554,0.362,0.285,0.64,0.585,0.584,0.414,0.257,0.345
Aryna Sabalenka,2024 Miami R64,W vsBadosa,2024,0.353,0.529,0.655,0.41,0.523,0.73,0.525,0.276,0.75,0.521,0.996,0.561,0.5,0.514,0.573,0.512
Aryna Sabalenka,2024 Indian Wells R16,L vsNavarro,2024,0.274,0.438,0.51,0.31,0.411,0.52,0.421,0.634,0.419,0.413,0.981,0.539,0.334,0.443,0.372,0.421
Aryna Sabalenka,2024 Indian Wells R32,W vsRaducanu,2024,0.307,0.467,0.54,0.362,0.496,0.18,0.328,0.649,0.725,0.417,0.714,0.573,0.875,0.617,0.459,0.466
Aryna Sabalenka,2024 Indian Wells R64,W vsStearns,2024,0.312,0.413,0.53,0.353,0.47,1.61,0.339,0.576,0.625,0.408,0.77,0.598,0.786,0.561,0.449,0.45
Aryna Sabalenka,2024 Dubai R32,L vsVekic,2024,0.22,0.33,0.429,0.25,0.35,0.88,0.31,0.371,0.703,0.33,0.922,0.539,0.5,0.447,0.297,0.361
Aryna Sabalenka,2024 Australian Open F,W vsZheng,2024,0.386,0.474,0.514,0.5,0.592,1.04,0.205,0.824,0.722,0.413,0.461,0.706,1.0,0.675,0.455,0.501
Aryna Sabalenka,2024 Australian Open SF,W vsGauff,2024,0.227,0.439,0.571,0.26,0.421,0.25,0.336,0.648,0.809,0.38,0.844,0.44,0.75,0.593,0.418,0.425
Aryna Sabalenka,2024 Australian Open QF,W vsKrejcikova,2024,0.3,0.475,0.538,0.44,0.525,0.42,0.29,0.667,0.289,0.416,0.626,0.615,0.5,0.458,0.458,0.446
Aryna Sabalenka,2024 Australian Open R16,W vsAnisimova,2024,0.46,0.58,0.577,0.548,0.646,0.4,0.381,0.343,0.5,0.523,0.588,0.694,0.5,0.478,0.575,0.537
Aryna Sabalenka,2024 Australian Open R32,W vsTsurenko,2024,0.359,0.487,0.52,0.44,0.529,1.04,0.315,0.867,0.286,0.429,0.652,0.652,0.5,0.502,0.472,0.471
Aryna Sabalenka,2024 Australian Open R64,W vsFruhvirtova,2024,0.167,0.479,0.703,0.192,0.51,0.38,0.34,0.663,0.574,0.43,0.713,0.29,1.0,0.619,0.473,0.44
Aryna Sabalenka,2024 Australian Open R128,W vsSeidel,2024,0.477,0.568,0.476,0.6,0.61,0.68,0.341,0.317,0.167,0.485,0.584,0.767,0.0,0.291,0.534,0.494
Aryna Sabalenka,2024 Brisbane F,L vsRybakina,2024,0.154,0.288,0.372,0.188,0.301,0.43,0.204,0.546,0.464,0.256,0.823,0.464,0.5,0.404,0.23,0.301
Aryna Sabalenka,2024 Brisbane SF,W vsAzarenka,2024,0.333,0.6,0.568,0.436,0.564,0.46,0.41,0.362,0.723,0.492,0.734,0.57,0.5,0.514,0.541,0.499
Aryna Sabalenka,2024 Brisbane QF,W vsKasatkina,2024,0.262,0.475,0.558,0.342,0.528,0.01,0.255,0.712,0.741,0.401,0.579,0.518,1.0,0.651,0.442,0.457
Aryna Sabalenka,2024 Brisbane R16,W vsZhu,2024,0.315,0.5,0.514,0.452,0.542,0.01,0.328,0.728,0.439,0.443,0.652,0.63,0.75,0.561,0.487,0.473
Aryna Sabalenka,2024 Brisbane R32,W vsBronzetti,2024,0.409,0.545,0.6,0.538,0.59,0.37,0.42,0.842,0.343,0.51,0.712,0.671,0.5,0.541,0.561,0.529
Aryna Sabalenka,2023 Cancun Finals SF,L vsSwiatek,2023,0.262,0.344,0.463,0.275,0.388,1.26,0.279,0.512,0.593,0.337,0.805,0.571,0.55,0.466,0.303,0.385
Aryna Sabalenka,2023 Cancun Finals RR,W vsSakkari,2023,0.294,0.451,0.645,0.346,0.49,1.37,0.461,0.668,0.263,0.475,0.944,0.518,0.375,0.451,0.522,0.461
Aryna Sabalenka,2023 Cancun Finals RR,L vsPegula,2023,0.197,0.311,0.432,0.158,0.274,1.58,0.403,0.594,0.717,0.331,0.773,0.434,0.9,0.575,0.298,0.363
Aryna Sabalenka,2023 Cancun Finals RR,W vsRybakina,2023,0.255,0.364,0.522,0.313,0.407,0.69,0.389,0.517,0.408,0.397,0.965,0.556,0.2,0.384,0.437,0.396
Aryna Sabalenka,2023 Beijing QF,L vsRybakina,2023,0.206,0.338,0.522,0.286,0.415,0.21,0.305,0.335,0.662,0.363,0.803,0.507,0.584,0.461,0.326,0.381
Aryna Sabalenka,2023 Beijing R16,W vsPaolini,2023,0.362,0.449,0.415,0.524,0.543,0.09,0.237,0.598,0.378,0.402,0.543,0.763,0.5,0.456,0.442,0.447
Aryna Sabalenka,2023 Beijing R32,W vsBoulter,2023,0.32,0.45,0.508,0.41,0.464,0.88,0.396,0.738,0.749,0.431,0.872,0.633,0.916,0.653,0.474,0.477
Aryna Sabalenka,2023 Beijing R64,W vsKenin,2023,0.538,0.667,0.75,0.696,0.767,0.47,0.536,0.404,0.422,0.658,0.63,0.696,0.0,0.429,0.724,0.619
Aryna Sabalenka,2023 US Open F,L vsGauff,2023,0.169,0.299,0.483,0.225,0.367,0.06,0.251,0.491,0.614,0.313,0.793,0.455,0.375,0.421,0.281,0.338
Aryna Sabalenka,2023 US Open SF,W vsKeys,2023,0.327,0.439,0.452,0.344,0.404,0.38,0.435,0.286,0.45,0.416,0.94,0.627,0.375,0.389,0.458,0.424
Aryna Sabalenka,2023 US Open QF,W vsZheng,2023,0.4,0.556,0.75,0.462,0.61,0.87,0.522,0.433,0.333,0.568,0.839,0.572,0.0,0.38,0.624,0.532
Aryna Sabalenka,2023 US Open R16,W vsKasatkina,2023,0.15,0.45,0.613,0.217,0.422,0.51,0.377,0.797,0.417,0.4,0.914,0.326,0.5,0.503,0.44,0.397
Aryna Sabalenka,2023 US Open R32,W vsBurel,2023,0.25,0.438,0.647,0.267,0.417,0.3,0.475,0.429,0.444,0.442,0.891,0.436,0.0,0.351,0.486,0.419
Aryna Sabalenka,2023 US Open R64,W vsBurrage,2023,0.316,0.491,0.611,0.448,0.639,0.25,0.308,0.749,0.333,0.486,0.515,0.592,0.5,0.511,0.535,0.486
Aryna Sabalenka,2023 US Open R128,W vsZanevska,2023,0.293,0.448,0.485,0.372,0.483,0.42,0.207,0.73,0.472,0.356,0.576,0.603,0.5,0.483,0.391,0.42
Aryna Sabalenka,2023 Cincinnati SF,L vsMuchova,2023,0.225,0.363,0.507,0.25,0.344,1.06,0.43,0.614,0.432,0.382,0.842,0.488,0.548,0.471,0.344,0.39
Aryna Sabalenka,2023 Cincinnati QF,W vsJabeur,2023,0.246,0.435,0.478,0.326,0.43,0.14,0.346,0.637,0.567,0.39,0.845,0.546,0.9,0.577,0.429,0.425
Aryna Sabalenka,2023 Cincinnati R16,W vsKasatkina,2023,0.271,0.417,0.606,0.294,0.449,0.68,0.342,0.632,0.19,0.398,0.807,0.494,0.334,0.39,0.438,0.415
Aryna Sabalenka,2023 Cincinnati R32,W vsLi,2023,0.378,0.5,0.44,0.426,0.482,0.64,0.438,0.327,0.299,0.46,0.916,0.684,0.0,0.309,0.506,0.446
Aryna Sabalenka,2023 Montreal R32,W vsMartic,2023,0.318,0.455,0.5,0.467,0.532,0.69,0.348,0.524,0.593,0.446,0.691,0.667,0.584,0.518,0.491,0.463
Aryna Sabalenka,2023 Wimbledon SF,L vsJabeur,2023,0.3,0.483,0.506,0.351,0.476,0.36,0.353,0.584,0.502,0.418,0.783,0.568,0.5,0.484,0.376,0.442
Aryna Sabalenka,2023 Wimbledon QF,W vsKeys,2023,0.27,0.492,0.545,0.351,0.495,0.11,0.352,0.362,0.5,0.428,0.75,0.528,0.25,0.394,0.471,0.428
Aryna Sabalenka,2023 Wimbledon R16,W vsAlexandrova,2023,0.391,0.543,0.536,0.419,0.535,1.04,0.38,0.38,0.399,0.462,0.733,0.627,0.0,0.341,0.508,0.469
Aryna Sabalenka,2023 Wimbledon R32,W vsBlinkova,2023,0.274,0.438,0.489,0.348,0.446,0.52,0.37,0.197,0.67,0.41,0.86,0.576,0.5,0.437,0.451,0.419
Aryna Sabalenka,2023 Wimbledon R64,W vsGracheva,2023,0.403,0.528,0.486,0.578,0.646,0.09,0.238,0.445,0.833,0.458,0.442,0.739,0.5,0.539,0.503,0.502
Aryna Sabalenka,2023 Wimbledon R128,W vsUdvardy,2023,0.349,0.628,0.692,0.462,0.615,0.38,0.472,0.731,0.433,0.547,0.751,0.541,0.5,0.552,0.602,0.541
Aryna Sabalenka,2023 Berlin R16,L vsKudermetova,2023,0.381,0.444,0.378,0.5,0.512,0.07,0.27,0.316,0.642,0.4,0.616,0.78,0.5,0.451,0.36,0.445
Aryna Sabalenka,2023 Berlin R32,W vsZvonareva,2023,0.409,0.636,0.72,0.483,0.635,0.23,0.494,0.3,0.317,0.568,0.755,0.57,0.0,0.351,0.625,0.537
Aryna Sabalenka,2023 Roland Garros SF,L vsMuchova,2023,0.202,0.325,0.529,0.25,0.37,0.02,0.288,0.798,0.31,0.331,0.848,0.476,0.5,0.454,0.298,0.367
Aryna Sabalenka,2023 Roland Garros QF,W vsSvitolina,2023,0.197,0.344,0.63,0.222,0.349,0.41,0.434,0.496,0.339,0.386,0.845,0.398,0.0,0.321,0.424,0.37
Aryna Sabalenka,2023 Roland Garros R16,W vsStephens,2023,0.27,0.444,0.545,0.359,0.483,0.03,0.313,0.288,0.47,0.403,0.711,0.553,0.25,0.363,0.444,0.413
Aryna Sabalenka,2023 Roland Garros R32,W vsRakhimova,2023,0.294,0.471,0.6,0.378,0.524,0.36,0.241,0.45,0.856,0.393,0.567,0.548,0.5,0.518,0.432,0.45
Aryna Sabalenka,2023 Roland Garros R64,W vsShymanovich,2023,0.327,0.509,0.571,0.41,0.573,0.25,0.204,0.538,0.762,0.403,0.477,0.585,0.75,0.571,0.443,0.472
Aryna Sabalenka,2023 Roland Garros R128,W vsKostyuk,2023,0.298,0.439,0.568,0.325,0.453,1.09,0.379,0.345,0.511,0.417,0.861,0.542,0.334,0.405,0.459,0.43
Aryna Sabalenka,2023 Rome R64,L vsKenin,2023,0.29,0.42,0.391,0.381,0.461,0.11,0.242,0.601,0.345,0.359,0.645,0.668,0.312,0.395,0.323,0.396
Aryna Sabalenka,2023 Madrid F,W vsSwiatek,2023,0.223,0.383,0.514,0.25,0.375,0.09,0.358,0.496,0.617,0.366,0.966,0.474,0.834,0.536,0.402,0.398
Aryna Sabalenka,2023 Madrid SF,W vsSakkari,2023,0.339,0.458,0.5,0.39,0.465,0.97,0.377,0.37,0.173,0.423,0.838,0.632,0.0,0.278,0.465,0.422
Aryna Sabalenka,2023 Madrid QF,W vsSherif,2023,0.146,0.326,0.552,0.191,0.369,0.06,0.302,0.548,0.571,0.337,0.875,0.359,0.584,0.475,0.371,0.352
Aryna Sabalenka,2023 Madrid R16,W vsAndreeva,2023,0.267,0.467,0.576,0.292,0.409,1.04,0.449,0.357,0.429,0.426,0.923,0.482,0.25,0.377,0.468,0.421
Aryna Sabalenka,2023 Madrid R32,W vsOsorio,2023,0.261,0.406,0.458,0.262,0.392,0.3,0.344,0.6,0.686,0.369,0.908,0.531,0.834,0.571,0.406,0.413
Aryna Sabalenka,2023 Madrid R64,W vsCirstea,2023,0.406,0.5,0.361,0.435,0.453,0.3,0.402,0.608,0.567,0.428,0.904,0.742,0.8,0.566,0.471,0.476
Aryna Sabalenka,2023 Stuttgart F,L vsSwiatek,2023,0.225,0.408,0.472,0.306,0.433,0.66,0.205,0.629,0.292,0.328,0.634,0.53,0.334,0.382,0.295,0.369
Aryna Sabalenka,2023 Stuttgart SF,W vsPotapova,2023,0.314,0.529,0.606,0.333,0.494,0.3,0.457,0.341,0.256,0.475,0.93,0.508,0.0,0.309,0.522,0.449
Aryna Sabalenka,2023 Stuttgart QF,W vsBadosa,2023,0.283,0.402,0.475,0.386,0.447,0.13,0.297,0.641,0.667,0.377,0.741,0.633,1.0,0.612,0.414,0.437
Aryna Sabalenka,2023 Stuttgart R16,W vsKrejcikova,2023,0.471,0.647,0.577,0.576,0.685,0.37,0.378,0.4,0.289,0.542,0.542,0.687,0.0,0.355,0.597,0.535
Aryna Sabalenka,2023 Miami QF,L vsCirstea,2023,0.351,0.491,0.419,0.4,0.489,1.95,0.378,0.632,0.708,0.436,0.8,0.668,0.75,0.592,0.393,0.471
Aryna Sabalenka,2023 Miami R16,W vsKrejcikova,2023,0.468,0.596,0.625,0.545,0.645,0.18,0.38,0.389,0.233,0.522,0.588,0.673,0.0,0.333,0.574,0.524
Aryna Sabalenka,2023 Miami R32,W vsBouzkova,2023,0.295,0.614,0.677,0.3,0.556,1.04,0.407,0.421,0.381,0.486,0.744,0.425,0.0,0.355,0.534,0.47
Aryna Sabalenka,2023 Miami R64,W vsRogers,2023,0.32,0.52,0.625,0.483,0.618,0.09,0.317,0.418,0.492,0.478,0.547,0.598,0.25,0.423,0.526,0.479
Aryna Sabalenka,2023 Indian Wells F,L vsRybakina,2023,0.303,0.416,0.423,0.411,0.472,0.21,0.267,0.24,0.458,0.377,0.664,0.681,0.334,0.357,0.339,0.402
Aryna Sabalenka,2023 Indian Wells SF,W vsSakkari,2023,0.309,0.436,0.545,0.438,0.522,0.31,0.321,0.769,0.375,0.428,0.669,0.633,0.75,0.55,0.471,0.462
