Player,Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
Aryna Sabalenka,2021 Cincinnati R32,L vsBadosa,2.9,2.5,3.2,46.1%,50.0%,53.8%,40.0%,47.7%,4.9%,18.5,17.6,2.5,2.1
Aryna Sabalenka,2021 Montreal SF,L vsPliskova,3.3,3.1,3.5,45.3%,40.0%,37.5%,66.7%,51.6%,10.8%,-2.5,-3.5,-2.0,-3.0
Aryna Sabalenka,2021 Montreal QF,W vsAzarenka,3.0,2.2,3.8,48.7%,60.0%,100.0%,50.0%,48.2%,15.1%,10.5,16.4,1.0,1.6
Aryna Sabalenka,2021 Montreal R16,W vsMarino,2.3,1.8,2.9,58.4%,75.0%,40.0%,-,40.7%,16.7%,7.0,24.1,6.0,15.4
Aryna Sabalenka,2021 Montreal R32,W vsStephens,3.2,2.8,3.6,48.5%,47.9%,53.8%,66.7%,51.9%,11.1%,2.0,1.6,7.5,6.8
Aryna Sabalenka,2021 Tokyo Olympics R32,L vsVekic,2.8,2.6,2.9,47.6%,61.7%,62.5%,40.0%,54.2%,12.5%,22.5,20.8,14.5,16.3
Aryna Sabalenka,2021 Tokyo Olympics R64,W vsLinette,2.5,2.2,2.7,54.9%,81.0%,75.0%,-,55.4%,8.9%,10.0,20.8,13.0,32.5
Aryna Sabalenka,2021 Wimbledon SF,L vsPliskova,2.7,2.4,3.0,50.7%,45.2%,29.4%,0.0%,49.7%,19.0%,0.5,0.7,-1.0,-1.6
Aryna Sabalenka,2021 Wimbledon QF,W vsJabeur,2.6,2.6,2.6,53.7%,53.1%,66.7%,-,60.2%,17.0%,22.0,33.8,8.5,23.0
Aryna Sabalenka,2021 Wimbledon R16,W vsRybakina,2.9,3.0,2.8,52.3%,61.3%,58.3%,25.0%,46.0%,13.9%,6.5,8.9,10.0,11.6
Aryna Sabalenka,2021 Wimbledon R32,W vsOsorio,3.3,3.3,3.3,63.2%,45.5%,54.5%,75.0%,59.7%,23.3%,3.0,3.8,5.0,11.1
Aryna Sabalenka,2021 Wimbledon R64,W vsBoulter,3.0,2.6,3.4,55.4%,55.0%,33.3%,50.0%,51.0%,17.0%,9.5,12.0,14.5,18.4
Aryna Sabalenka,2021 Wimbledon R128,W vsNiculescu,3.2,3.1,3.2,60.8%,63.0%,61.5%,0.0%,56.2%,18.8%,21.5,31.6,8.0,16.0
Aryna Sabalenka,2021 Eastbourne QF,L vsGiorgi,2.5,2.3,2.8,54.7%,50.0%,14.3%,100.0%,49.2%,6.6%,0.5,0.6,5.0,6.0
Aryna Sabalenka,2021 Eastbourne R16,W vsRiske Amritraj,2.7,2.8,2.7,64.4%,54.2%,66.7%,33.3%,55.8%,11.9%,14.0,30.4,9.0,25.7
Aryna Sabalenka,2021 Eastbourne R32,W vsPera,2.5,2.3,2.8,51.2%,58.8%,83.3%,100.0%,52.7%,20.5%,3.5,9.2,4.0,11.8
Aryna Sabalenka,2021 Berlin R16,L vsKeys,2.5,2.4,2.6,52.2%,45.5%,40.0%,0.0%,51.0%,19.2%,5.0,7.9,2.5,4.4
Aryna Sabalenka,2021 Roland Garros R32,L vsPavlyuchenkova,3.1,2.8,3.4,44.6%,62.9%,45.5%,0.0%,35.8%,13.5%,13.0,23.6,10.0,10.6
Aryna Sabalenka,2021 Roland Garros R64,W vsSasnovich,3.3,3.2,3.5,52.8%,53.1%,54.5%,80.0%,33.0%,10.2%,3.5,6.4,2.5,2.2
Aryna Sabalenka,2021 Roland Garros R128,W vsKonjuh,2.7,2.5,2.9,50.5%,67.9%,16.7%,100.0%,60.0%,13.0%,10.0,13.2,0.5,1.1
Aryna Sabalenka,2021 Rome R16,L vsGauff,3.3,3.2,3.4,44.4%,44.4%,63.6%,0.0%,46.9%,4.3%,3.0,4.2,-0.5,-0.6
Aryna Sabalenka,2021 Rome R32,W vsSorribes Tormo,3.9,3.6,4.3,57.8%,58.6%,60.0%,44.4%,52.7%,13.3%,16.0,14.2,8.0,8.8
Aryna Sabalenka,2021 Madrid F,W vsBarty,3.0,3.0,3.0,53.2%,51.4%,71.4%,50.0%,56.6%,15.2%,6.5,7.1,7.0,10.4
Aryna Sabalenka,2021 Madrid SF,W vsPavlyuchenkova,3.3,2.9,3.8,56.9%,65.4%,60.0%,75.0%,34.4%,8.5%,13.5,34.6,17.0,23.3
Aryna Sabalenka,2021 Madrid R16,W vsPegula,2.8,2.4,3.2,64.4%,70.0%,28.6%,100.0%,40.2%,18.2%,10.0,27.8,12.5,27.8
Aryna Sabalenka,2021 Madrid R32,W vsKasatkina,3.3,3.3,3.3,55.6%,61.3%,64.3%,0.0%,41.3%,14.3%,13.0,19.4,21.0,25.3
Aryna Sabalenka,2021 Madrid R64,W vsZvonareva,3.6,3.4,3.7,74.1%,59.4%,30.8%,0.0%,52.3%,11.1%,15.0,21.1,7.5,12.1
Aryna Sabalenka,2021 Stuttgart F,L vsBarty,3.2,3.1,3.3,44.0%,48.1%,41.7%,25.0%,54.1%,14.9%,-0.5,-0.5,5.5,7.0
Aryna Sabalenka,2021 Stuttgart SF,W vsHalep,3.2,3.0,3.4,57.5%,66.7%,61.5%,66.7%,45.0%,22.9%,13.5,21.1,11.5,18.5
Aryna Sabalenka,2021 Stuttgart QF,W vsKontaveit,3.1,2.8,3.4,53.2%,54.2%,40.0%,40.0%,52.5%,9.6%,15.5,12.4,14.5,13.1
Aryna Sabalenka,2021 Stuttgart R16,W vsFriedsam,3.3,3.2,3.5,50.7%,57.7%,60.0%,83.3%,53.3%,15.5%,9.5,13.0,7.5,13.2
Aryna Sabalenka,2021 Stuttgart R32,W vsZhang,2.8,2.4,3.1,57.3%,70.6%,75.0%,66.7%,51.3%,14.0%,14.5,26.9,5.5,11.2
Aryna Sabalenka,2021 Miami QF,L vsBarty,3.3,3.0,3.5,44.0%,51.6%,44.4%,50.0%,57.4%,17.7%,14.5,11.1,5.5,6.0
Aryna Sabalenka,2021 Miami R16,W vsVondrousova,3.1,2.6,3.7,55.7%,65.5%,60.0%,100.0%,54.1%,18.0%,9.5,15.8,8.0,16.0
Aryna Sabalenka,2021 Miami R32,W vsKudermetova,2.8,2.2,3.3,49.0%,75.8%,33.3%,50.0%,50.3%,20.8%,16.0,23.9,6.5,11.6
Aryna Sabalenka,2021 Miami R64,W vsPironkova,3.4,3.0,3.8,53.0%,44.2%,38.9%,50.0%,43.4%,22.0%,6.0,6.0,1.0,0.9
Aryna Sabalenka,2021 Dubai QF,L vsMuguruza,3.1,3.3,2.9,42.5%,50.0%,53.8%,50.0%,57.7%,7.1%,3.5,3.3,8.5,11.0
Aryna Sabalenka,2021 Dubai R16,W vsKontaveit,2.9,2.7,3.1,63.9%,52.4%,60.0%,33.3%,50.0%,21.8%,6.5,14.8,11.5,27.4
Aryna Sabalenka,2021 Dubai R32,W vsCornet,3.5,2.8,4.1,52.7%,61.8%,50.0%,60.0%,53.3%,15.2%,23.0,25.3,2.0,2.7
Aryna Sabalenka,2021 Doha R16,L vsMuguruza,3.6,3.6,3.5,45.7%,51.0%,52.4%,27.3%,50.6%,11.0%,5.5,4.0,8.5,6.2
Aryna Sabalenka,2021 Australian Open R16,L vsWilliams,3.2,3.2,3.2,51.2%,45.9%,45.0%,66.7%,47.1%,7.8%,6.0,6.3,7.0,6.0
Aryna Sabalenka,2021 Australian Open R32,W vsLi,2.8,2.5,3.1,59.3%,62.5%,60.0%,100.0%,57.9%,7.8%,21.0,33.3,2.5,5.3
Aryna Sabalenka,2021 Australian Open R64,W vsKasatkina,3.5,3.4,3.7,46.9%,59.4%,63.6%,50.0%,40.3%,7.0%,7.0,10.3,2.5,2.4
Aryna Sabalenka,2021 Australian Open R128,W vsHruncakova,3.2,2.3,3.9,52.4%,85.7%,25.0%,66.7%,61.2%,22.0%,22.5,30.0,8.0,21.6
Aryna Sabalenka,2021 Gippsland Trophy R32,L vsKanepi,3.3,3.0,3.5,46.5%,44.7%,50.0%,75.0%,46.0%,8.6%,6.5,7.4,8.5,8.0
Aryna Sabalenka,2021 Abu Dhabi F,W vsKudermetova,3.0,3.3,2.8,63.0%,62.5%,75.0%,33.3%,56.8%,15.7%,13.0,21.7,7.5,17.4
Aryna Sabalenka,2021 Abu Dhabi SF,W vsSakkari,2.7,2.6,2.7,62.7%,69.6%,66.7%,100.0%,48.4%,12.5%,19.5,46.4,9.0,21.4
Aryna Sabalenka,2021 Abu Dhabi QF,W vsRybakina,3.4,3.3,3.4,50.0%,54.8%,61.9%,42.9%,59.8%,13.8%,10.0,7.7,2.5,3.1
Aryna Sabalenka,2021 Abu Dhabi R16,W vsJabeur,2.8,2.5,3.0,56.5%,55.9%,33.3%,-,55.3%,19.6%,11.5,19.2,3.5,8.5
Aryna Sabalenka,2021 Abu Dhabi R32,W vsTomljanovic,3.3,2.5,3.9,47.5%,75.9%,53.8%,50.0%,56.6%,13.5%,25.0,22.9,6.0,7.9
Aryna Sabalenka,2021 Abu Dhabi R64,W vsHercog,3.1,2.7,3.5,53.8%,57.1%,87.5%,42.9%,49.2%,9.1%,0.5,0.6,10.0,11.2
Aryna Sabalenka,2020 Linz F,W vsMertens,3.5,3.0,3.9,54.3%,55.6%,66.7%,100.0%,48.2%,0.0%,17.5,20.8,11.5,11.9
Aryna Sabalenka,2020 Linz SF,W vsKrejcikova,2.8,2.5,3.1,52.5%,73.0%,20.0%,25.0%,45.9%,13.3%,11.0,13.6,19.5,20.5
Aryna Sabalenka,2020 Linz R16,W vsVoegele,3.1,3.2,3.1,59.4%,77.8%,22.2%,50.0%,56.1%,17.2%,12.5,18.9,15.0,31.3
Aryna Sabalenka,2020 Linz R32,W vsPaolini,3.1,2.4,3.6,51.5%,63.9%,45.5%,100.0%,53.8%,10.6%,7.5,8.2,8.0,10.8
Aryna Sabalenka,2020 Ostrava F,W vsAzarenka,3.9,3.4,4.4,58.9%,59.1%,66.7%,83.3%,56.6%,19.0%,18.5,23.4,14.0,27.5
Aryna Sabalenka,2020 Ostrava SF,W vsBrady,3.2,3.2,3.2,52.7%,71.4%,54.5%,0.0%,50.0%,15.7%,10.5,17.8,11.5,19.8
Aryna Sabalenka,2020 Ostrava QF,W vsSorribes Tormo,5.2,4.4,5.9,47.8%,48.8%,68.8%,54.5%,48.5%,11.0%,10.5,6.7,2.5,1.6
Aryna Sabalenka,2020 Ostrava R16,W vsGauff,4.3,4.2,4.5,53.7%,45.1%,50.0%,35.7%,48.7%,8.1%,6.0,3.9,4.5,2.9
Aryna Sabalenka,2020 Roland Garros R32,L vsJabeur,3.3,3.0,3.6,51.2%,54.8%,30.8%,40.0%,46.3%,19.4%,19.5,19.3,13.0,11.6
Aryna Sabalenka,2020 Roland Garros R64,W vsKasatkina,4.3,4.0,4.6,61.3%,55.6%,45.0%,57.1%,49.8%,8.2%,13.0,10.9,7.5,6.8
Aryna Sabalenka,2020 Roland Garros R128,W vsPegula,4.3,3.8,4.8,53.6%,54.1%,66.7%,80.0%,44.2%,11.3%,16.5,20.4,-0.5,-0.5
Aryna Sabalenka,2020 Strasbourg SF,L vsSvitolina,4.0,3.8,4.3,45.1%,41.7%,65.0%,63.6%,50.0%,16.0%,14.5,9.9,-7.0,-5.6
Aryna Sabalenka,2020 Strasbourg QF,W vsSiniakova,4.7,4.4,4.9,52.7%,53.2%,52.9%,41.2%,47.2%,10.6%,11.0,7.4,3.5,2.2
Aryna Sabalenka,2020 Strasbourg R16,W vsBlinkova,3.2,3.2,3.2,51.0%,44.4%,55.0%,66.7%,50.7%,15.0%,13.0,12.5,-2.5,-2.8
Aryna Sabalenka,2020 Strasbourg R32,W vsPerez,2.8,3.0,2.6,61.0%,35.0%,57.1%,100.0%,39.3%,10.3%,11.5,30.3,-1.0,-1.6
Aryna Sabalenka,2020 US Open R64,L vsAzarenka,4.0,4.3,3.9,36.0%,34.5%,83.3%,33.3%,50.3%,8.9%,6.5,8.6,-8.5,-12.1
Aryna Sabalenka,2020 US Open R128,W vsDodin,3.0,2.4,3.4,55.3%,60.0%,50.0%,62.5%,55.8%,16.7%,8.0,9.4,7.0,11.7
Aryna Sabalenka,2020 Cincinnati R16,L vsPegula,3.3,2.8,3.9,48.4%,48.8%,46.7%,33.3%,40.3%,10.0%,-2.0,-2.0,7.5,5.4
Aryna Sabalenka,2020 Cincinnati R32,W vsBellis,3.1,3.3,2.9,44.5%,54.5%,61.1%,88.9%,61.0%,6.5%,12.0,7.4,0.0,0.0
Aryna Sabalenka,2020 Lexington R16,L vsGauff,3.3,3.4,3.2,49.6%,45.7%,63.2%,71.4%,51.1%,8.0%,19.5,14.3,-6.0,-4.8
Aryna Sabalenka,2020 Lexington R32,W vsBrengle,3.3,3.1,3.5,53.4%,50.0%,70.6%,57.1%,47.5%,9.0%,12.0,10.3,5.0,4.1
Aryna Sabalenka,2020 Doha F,W vsKvitova,2.9,2.8,3.0,55.1%,65.0%,83.3%,66.7%,41.2%,7.8%,5.5,10.4,11.5,16.4
Aryna Sabalenka,2020 Doha SF,W vsKuznetsova,4.2,3.7,4.8,61.8%,52.8%,61.1%,40.0%,55.3%,11.4%,11.0,10.6,1.0,1.3
Aryna Sabalenka,2020 Doha QF,W vsZheng,5.1,4.7,5.5,48.8%,54.5%,51.6%,58.3%,50.9%,7.7%,7.5,3.8,16.0,8.3
Aryna Sabalenka,2020 Doha R16,W vsSakkari,4.5,4.8,4.2,65.0%,68.2%,77.8%,50.0%,46.3%,7.6%,9.5,15.1,6.5,9.0
Aryna Sabalenka,2020 Doha R32,W vsKontaveit,4.0,4.1,4.0,46.2%,56.3%,58.8%,50.0%,52.9%,16.3%,15.5,9.6,20.5,15.4
Aryna Sabalenka,2020 Dubai QF,L vsHalep,4.1,4.3,4.0,42.1%,50.0%,41.2%,70.0%,44.2%,7.2%,9.0,8.3,-1.5,-1.2
Aryna Sabalenka,2020 Dubai R16,W vsMertens,3.7,3.4,4.1,60.0%,57.1%,50.0%,40.0%,45.0%,7.6%,2.0,2.6,8.5,8.9
Aryna Sabalenka,2020 Dubai R32,W vsSakkari,3.9,3.2,4.5,58.6%,51.2%,61.1%,44.4%,40.1%,5.6%,0.5,0.5,4.5,2.7
Aryna Sabalenka,2020 Fed Cup RR,W vsRus,3.8,3.4,4.2,53.1%,65.7%,42.9%,66.7%,59.9%,11.1%,17.5,20.3,6.0,10.7
Aryna Sabalenka,2020 Fed Cup RR,L vsBertens,3.2,3.4,3.0,42.9%,57.1%,7.7%,50.0%,65.5%,16.7%,-2.0,-2.4,-2.0,-5.3
Aryna Sabalenka,2020 Australian Open R128,L vsSuarez Navarro,3.3,2.8,3.8,51.6%,45.1%,29.4%,85.7%,41.0%,5.7%,0.5,0.5,9.0,6.2
Aryna Sabalenka,2020 Adelaide SF,L vsYastremska,3.0,2.8,3.2,54.2%,30.3%,42.9%,33.3%,49.7%,10.0%,-2.5,-2.9,-4.0,-4.9
Aryna Sabalenka,2020 Adelaide QF,W vsHalep,3.6,3.6,3.6,58.8%,57.1%,44.4%,60.0%,55.0%,5.3%,11.5,13.4,16.0,22.2
Aryna Sabalenka,2020 Adelaide R16,W vsPera,2.7,2.7,2.8,51.6%,61.5%,71.4%,50.0%,49.6%,10.4%,5.0,8.3,8.0,13.6
Aryna Sabalenka,2020 Adelaide R32,W vsHsieh,3.2,3.2,3.1,54.8%,52.9%,63.6%,0.0%,47.0%,12.0%,16.5,16.2,15.0,13.6
Aryna Sabalenka,2020 Shenzhen R16,L vsPliskova,2.9,2.7,3.1,46.4%,34.5%,55.6%,100.0%,51.0%,27.1%,3.5,5.6,3.0,6.3
Aryna Sabalenka,2020 Shenzhen R32,W vsGasparyan,3.2,3.1,3.3,60.8%,52.0%,81.8%,100.0%,50.0%,16.2%,5.0,8.5,9.0,15.8
Aryna Sabalenka,2019 Zhuhai F,W vsBertens,3.3,3.4,3.2,53.7%,76.9%,40.0%,50.0%,57.8%,16.7%,7.0,10.3,7.5,16.7
Aryna Sabalenka,2019 Zhuhai SF,W vsMuchova,3.1,2.9,3.4,54.3%,55.0%,53.3%,0.0%,54.5%,4.6%,-2.5,-2.7,14.0,17.1
Aryna Sabalenka,2019 Zhuhai RR,W vsSakkari,2.8,2.2,3.5,55.8%,62.5%,44.4%,75.0%,46.7%,7.8%,4.5,9.4,-1.0,-1.7
Aryna Sabalenka,2019 Zhuhai RR,W vsMertens,3.5,3.3,3.9,45.8%,55.3%,61.5%,50.0%,50.8%,6.2%,16.0,12.8,7.0,5.7
Aryna Sabalenka,2019 Beijing R32,L vsKasatkina,4.0,3.9,4.1,45.7%,55.3%,47.6%,62.5%,40.4%,6.7%,7.0,6.6,1.0,0.6
Aryna Sabalenka,2019 Wuhan F,W vsRiske Amritraj,3.3,2.9,3.8,58.3%,43.2%,66.7%,42.9%,45.3%,8.6%,0.0,0.0,9.5,9.1
Aryna Sabalenka,2019 Wuhan SF,W vsBarty,3.1,3.4,2.6,56.3%,47.2%,60.0%,33.3%,59.8%,15.7%,7.0,7.9,5.5,9.5
Aryna Sabalenka,2019 Wuhan QF,W vsRybakina,2.9,3.1,2.6,55.0%,47.1%,62.5%,50.0%,43.3%,7.2%,6.5,10.5,7.0,7.8
Aryna Sabalenka,2019 Wuhan R16,W vsBertens,2.6,2.6,2.6,54.9%,63.0%,45.5%,-,55.6%,11.5%,10.0,18.2,3.5,7.6
Aryna Sabalenka,2019 Wuhan R32,W vsCollins,3.0,1.9,3.9,63.6%,84.2%,42.9%,100.0%,54.0%,4.3%,7.0,13.5,7.5,17.0
Aryna Sabalenka,2019 Wuhan R64,W vsSasnovich,3.0,2.6,3.5,60.9%,52.0%,75.0%,75.0%,46.2%,7.0%,5.5,13.1,7.0,13.7
Aryna Sabalenka,2019 Zhengzhou QF,L vsMartic,3.8,3.4,4.2,45.6%,56.6%,56.5%,33.3%,47.9%,8.0%,15.5,9.9,10.0,5.8
Aryna Sabalenka,2019 Zhengzhou R16,W vsOstapenko,2.6,2.9,2.3,65.2%,57.9%,66.7%,50.0%,40.0%,14.8%,5.0,15.2,9.0,19.6
Aryna Sabalenka,2019 US Open R64,L vsPutintseva,4.1,3.8,4.6,43.4%,50.0%,57.9%,45.5%,45.6%,7.1%,9.0,7.9,4.5,3.4
Aryna Sabalenka,2019 US Open R128,W vsAzarenka,3.4,3.0,3.7,50.0%,51.7%,58.8%,66.7%,52.7%,2.3%,24.5,18.0,8.5,6.7
Aryna Sabalenka,2019 Cincinnati R16,L vsSakkari,3.2,3.0,3.4,44.2%,45.7%,57.9%,66.7%,58.4%,10.5%,6.0,4.2,4.0,4.0
Aryna Sabalenka,2019 Cincinnati R32,W vsZheng,4.4,3.9,4.9,58.1%,53.8%,47.1%,63.6%,55.1%,8.0%,11.0,11.1,11.0,13.8
Aryna Sabalenka,2019 Cincinnati R64,W vsMartic,3.3,3.4,3.1,48.7%,73.1%,62.5%,71.4%,47.8%,8.5%,8.0,11.0,10.0,13.3
Aryna Sabalenka,2019 Toronto  R64,L vsPavlyuchenkova,3.1,2.9,3.4,51.2%,40.0%,44.4%,33.3%,47.9%,3.3%,5.0,4.8,-1.5,-1.3
Aryna Sabalenka,2019 San Jose F,L vsZheng,4.3,3.9,4.7,41.9%,51.5%,50.0%,21.4%,55.0%,9.5%,10.0,7.2,-6.5,-6.2
Aryna Sabalenka,2019 San Jose SF,W vsVekic,3.1,2.8,3.4,57.6%,58.3%,50.0%,50.0%,54.8%,5.6%,15.5,18.5,-1.5,-2.3
Aryna Sabalenka,2019 San Jose QF,W vsSuarez Navarro,3.1,2.7,3.4,54.2%,50.0%,50.0%,0.0%,39.2%,5.0%,19.0,25.7,6.0,5.2
Aryna Sabalenka,2019 San Jose R16,W vsVandeweghe,2.8,2.3,3.4,59.2%,62.1%,60.0%,100.0%,54.6%,3.7%,11.0,18.3,-2.5,-5.0
Aryna Sabalenka,2019 Wimbledon R128,L vsRybarikova,3.5,3.4,3.5,42.2%,37.1%,55.6%,50.0%,44.6%,14.9%,-4.0,-6.9,1.0,1.4
Aryna Sabalenka,2019 Eastbourne QF,L vsBertens,3.5,3.4,3.5,45.6%,61.0%,41.7%,57.1%,64.2%,20.7%,3.5,2.4,1.5,2.1
Aryna Sabalenka,2019 Eastbourne R16,W vsWozniacki,3.8,3.6,4.0,52.0%,38.5%,52.2%,56.3%,53.0%,7.5%,17.5,10.7,-1.0,-0.7
Aryna Sabalenka,2019 Eastbourne R32,W vsZidansek,2.9,2.6,3.1,56.0%,60.6%,50.0%,100.0%,61.1%,7.1%,11.5,14.0,10.0,19.2
Aryna Sabalenka,2019 Birmingham R32,L vsHsieh,3.5,3.2,3.8,55.4%,34.1%,33.3%,55.6%,45.5%,17.4%,8.5,8.8,-4.5,-4.2
Aryna Sabalenka,2019 S-Hertogenbosch R32,L vsAiava,3.1,3.0,3.1,49.6%,55.8%,52.9%,75.0%,52.2%,17.3%,20.5,20.1,11.0,12.1
Aryna Sabalenka,2019 Roland Garros R64,L vsAnisimova,3.7,3.4,4.1,47.8%,40.6%,41.7%,42.9%,43.5%,10.1%,4.0,5.2,-10.5,-10.7
Aryna Sabalenka,2019 Roland Garros R128,W vsCibulkova,3.2,2.8,3.7,60.2%,51.7%,66.7%,0.0%,42.2%,8.3%,9.0,13.4,11.0,12.5
Aryna Sabalenka,2019 Strasbourg SF,L vsYastremska,2.8,2.2,3.3,44.4%,57.1%,28.6%,50.0%,57.1%,10.5%,13.5,21.1,2.0,3.9
Aryna Sabalenka,2019 Strasbourg QF,W vsPuig,3.1,2.8,3.3,51.4%,60.5%,84.6%,33.3%,47.8%,4.7%,20.5,23.6,11.5,11.4
Aryna Sabalenka,2019 Strasbourg R16,W vsSiegemund,3.3,3.3,3.4,53.9%,55.2%,87.5%,75.0%,53.2%,8.2%,10.0,13.9,9.0,13.4
Aryna Sabalenka,2019 Strasbourg R32,W vsZhu,3.6,3.6,3.5,79.5%,70.6%,70.0%,0.0%,52.0%,8.2%,13.0,25.5,5.5,12.2
Aryna Sabalenka,2019 Rome R64,L vsCornet,3.6,3.0,4.1,35.9%,47.6%,46.7%,75.0%,43.4%,12.2%,2.5,3.6,-0.5,-0.6
Aryna Sabalenka,2019 Madrid R64,L vsKuznetsova,3.6,3.2,4.1,38.7%,57.4%,54.2%,60.0%,50.8%,9.3%,22.0,17.6,3.0,2.6
Aryna Sabalenka,2019 Fed Cup RR,W vsStosur,3.0,2.7,3.3,50.0%,53.6%,56.3%,85.7%,48.7%,7.0%,16.0,12.5,16.5,12.9
Aryna Sabalenka,2019 Fed Cup RR,L vsBarty,3.3,3.6,3.0,41.4%,39.1%,38.9%,75.0%,56.0%,23.0%,4.0,4.7,8.0,14.5
Aryna Sabalenka,2019 Charleston R16,L vsPuig,3.2,2.9,3.5,40.9%,50.0%,25.0%,40.0%,34.1%,9.3%,7.5,14.4,-7.0,-7.3
Aryna Sabalenka,2019 Charleston R32,W vsBaindl,3.9,3.5,4.3,48.9%,51.9%,43.8%,78.6%,45.2%,7.5%,21.5,18.5,6.0,4.2
Aryna Sabalenka,2019 Miami R64,L vsTomljanovic,3.5,3.9,2.8,43.8%,26.3%,50.0%,62.5%,50.6%,11.8%,-4.5,-5.8,-4.0,-5.3
Aryna Sabalenka,2019 Indian Wells R16,L vsKerber,3.8,3.8,3.8,48.4%,51.0%,30.0%,50.0%,43.7%,9.5%,1.5,1.4,6.0,4.6
Aryna Sabalenka,2019 Indian Wells R32,W vsTsurenko,4.6,4.3,4.8,50.0%,69.0%,63.2%,63.6%,57.8%,6.8%,1.5,1.1,9.5,10.0
Aryna Sabalenka,2019 Indian Wells R64,W vsTomljanovic,2.9,3.0,2.9,58.7%,48.6%,40.0%,100.0%,56.8%,12.3%,11.0,12.9,6.5,10.2
Aryna Sabalenka,2019 Dubai R16,L vsBencic,3.0,2.3,3.6,54.4%,42.9%,41.2%,62.5%,53.0%,7.6%,3.0,2.2,9.0,7.5
Aryna Sabalenka,2019 Dubai R32,W vsJorovic,3.0,3.0,3.0,54.4%,65.0%,90.0%,100.0%,52.3%,4.8%,10.5,15.7,17.5,29.2
Aryna Sabalenka,2019 Fed Cup RR,W vsPetkovic,3.3,3.2,3.4,54.2%,67.7%,33.3%,66.7%,53.1%,11.6%,16.5,22.6,0.5,0.8
Aryna Sabalenka,2019 Fed Cup RR,W vsSiegemund,3.2,3.0,3.4,57.7%,65.7%,42.9%,66.7%,59.6%,5.1%,18.0,21.7,6.0,10.7
Aryna Sabalenka,2019 St. Petersburg SF,L vsBertens,3.4,3.8,2.9,52.5%,33.3%,50.0%,50.0%,54.5%,9.5%,8.0,7.8,2.0,2.5
Aryna Sabalenka,2019 St. Petersburg QF,W vsAlexandrova,3.3,3.6,3.0,53.2%,56.0%,40.0%,57.1%,56.6%,5.1%,3.0,3.1,13.0,18.1
Aryna Sabalenka,2019 St. Petersburg R16,W vsVan Uytvanck,3.6,3.5,3.7,61.9%,45.8%,63.6%,20.0%,43.1%,12.8%,4.0,8.2,6.0,8.8
Aryna Sabalenka,2019 Australian Open R32,L vsAnisimova,2.9,2.6,3.1,46.7%,29.2%,37.5%,0.0%,54.4%,9.6%,-4.5,-7.3,-1.0,-2.2
Aryna Sabalenka,2019 Australian Open R64,W vsBoulter,2.9,2.8,3.0,58.1%,58.3%,66.7%,0.0%,54.5%,6.6%,13.5,19.3,7.5,13.2
Aryna Sabalenka,2019 Australian Open R128,W vsKalinskaya,3.1,3.0,3.3,62.7%,64.7%,0.0%,0.0%,48.5%,13.2%,13.5,23.3,6.0,10.2
Aryna Sabalenka,2019 Sydney R32,L vsKvitova,2.7,2.9,2.6,45.0%,32.1%,0.0%,100.0%,50.0%,10.9%,1.5,2.8,-3.0,-6.3
Aryna Sabalenka,2019 Shenzhen F,W vsRiske Amritraj,3.3,3.3,3.3,55.2%,39.5%,61.9%,33.3%,52.7%,11.4%,17.5,13.7,2.0,1.9
Aryna Sabalenka,2019 Shenzhen SF,W vsWang,3.7,3.5,4.0,67.3%,57.7%,50.0%,66.7%,48.9%,5.6%,14.5,21.3,5.5,8.1
Aryna Sabalenka,2019 Shenzhen R16,W vsAlexandrova,3.1,3.0,3.1,59.0%,50.0%,37.5%,60.0%,57.7%,3.3%,5.5,6.8,-2.0,-3.4
Aryna Sabalenka,2019 Shenzhen R32,W vsMaria,3.5,3.5,3.6,52.6%,55.8%,50.0%,66.7%,56.4%,4.2%,3.5,3.0,11.5,12.6
Aryna Sabalenka,2018 Zhuhai R16,W vsBarty,3.4,3.2,3.6,49.4%,57.7%,64.3%,40.0%,47.7%,14.3%,10.0,12.8,1.5,1.9
Aryna Sabalenka,2018 Zhuhai R16,L vsGarcia,3.7,3.2,4.3,50.7%,35.3%,42.9%,40.0%,29.0%,11.7%,5.0,9.3,-11.5,-9.5
Aryna Sabalenka,2018 Tianjin QF,L vsBacsinszky,4.3,4.5,4.1,42.0%,58.2%,41.7%,61.5%,47.8%,8.3%,17.0,10.7,0.5,0.3
Aryna Sabalenka,2018 Beijing QF,L vsWang,4.3,3.6,4.8,50.6%,52.8%,34.6%,50.0%,50.7%,5.5%,5.5,3.8,-2.0,-1.5
Aryna Sabalenka,2018 Beijing R16,W vsGarcia,3.9,3.3,4.4,50.5%,55.4%,77.8%,54.5%,36.3%,3.3%,17.5,15.2,8.0,4.0
Aryna Sabalenka,2018 Beijing R32,W vsMuguruza,3.6,3.2,3.9,50.5%,54.3%,70.0%,66.7%,55.6%,6.3%,21.0,15.9,5.5,5.2
Aryna Sabalenka,2018 Wuhan F,W vsKontaveit,3.4,3.0,3.8,57.1%,62.5%,60.0%,33.3%,53.6%,2.9%,8.0,10.3,5.5,8.1
